# x_m,y_m
443.546939,-278.231075
440.456041,-282.160479
437.425339,-286.136467
434.426558,-290.136526
431.430743,-294.138737
428.408708,-298.120886
425.331603,-302.060433
422.169745,-305.932288
418.890632,-309.705157
415.461733,-313.342682
411.854628,-316.803479
408.046845,-320.041449
404.025801,-323.010424
399.793043,-325.668197
395.365050,-327.985795
390.764834,-329.939287
386.017938,-331.502473
381.153933,-332.649045
376.207964,-333.363486
371.218661,-333.658692
366.221328,-333.561051
361.244563,-333.099439
356.310305,-332.301784
351.437491,-331.188069
346.643047,-329.774212
341.942070,-328.075181
337.347523,-326.106318
332.865749,-323.892451
328.495088,-321.466364
324.230520,-318.858110
320.064065,-316.095690
315.988229,-313.201150
311.997994,-310.189642
308.087391,-307.075367
304.249533,-303.871823
300.476798,-300.591792
296.760947,-297.247423
293.093262,-293.850277
289.464573,-290.411509
285.864371,-286.942955
282.279623,-283.458423
278.699394,-279.969214
275.119925,-276.479213
271.540788,-272.988872
267.961978,-269.498196
264.383490,-266.007189
260.805320,-262.515857
257.227462,-259.024204
253.649913,-255.532235
250.072668,-252.039955
246.495721,-248.547370
242.919059,-245.054493
239.342648,-241.561359
235.766447,-238.068009
232.190418,-234.574484
228.614524,-231.080820
225.038747,-227.587037
221.463074,-224.093148
217.887489,-220.599167
214.311981,-217.105108
210.736536,-213.610986
207.161138,-210.116814
203.585776,-206.622606
200.010435,-203.128377
196.435101,-199.634140
192.859761,-196.139910
189.284401,-192.645699
185.709008,-189.151524
182.133567,-185.657396
178.558065,-182.163331
174.982489,-178.669343
171.406824,-175.175445
167.831057,-171.681651
164.255175,-168.187976
160.679163,-164.694433
157.103008,-161.201037
153.526696,-157.707801
149.950213,-154.214740
146.373546,-150.721867
142.796682,-147.229197
139.219606,-143.736744
135.642305,-140.244522
132.064764,-136.752544
128.486972,-133.260825
124.908913,-129.769378
121.330574,-126.278219
117.751942,-122.787360
114.173002,-119.296817
110.593740,-115.806604
107.014127,-112.316751
103.434130,-108.827293
99.853713,-105.338263
96.272845,-101.849699
92.691490,-98.361633
89.109615,-94.874102
85.527186,-91.387141
81.944168,-87.900783
78.360529,-84.415065
74.776234,-80.930021
71.191249,-77.445686
67.605541,-73.962096
64.019076,-70.479285
60.431820,-66.997289
56.843740,-63.516142
53.254801,-60.035881
49.664970,-56.556539
46.074213,-53.078153
42.482497,-49.600758
38.889789,-46.124388
35.296053,-42.649079
31.701258,-39.174867
28.105369,-35.701787
24.508354,-32.229874
20.910177,-28.759163
17.310807,-25.289691
13.710210,-21.821492
10.108357,-18.354598
6.505236,-14.889021
2.900860,-11.424750
-0.704747,-7.961760
