# x_m,y_m,kappa_radpm
322.893559,811.981371,-0.00027304
325.562340,807.756526,-0.00008032
328.229038,803.530367,0.00000250
330.895520,799.304081,0.00001028
333.562134,795.077884,-0.00000568
336.228648,790.851624,-0.00001593
338.894857,786.625171,-0.00001714
341.560715,782.398496,-0.00001541
344.226245,778.171615,-0.00001427
346.891471,773.944542,-0.00001380
349.556406,769.717285,-0.00001341
352.221057,765.489850,-0.00001294
354.885436,761.262242,-0.00001246
357.549551,757.034469,-0.00001198
360.213413,752.806536,-0.00001150
362.877032,748.578450,-0.00001102
365.540418,744.350218,-0.00001055
368.203582,740.121845,-0.00001007
370.866532,735.893338,-0.00000959
373.529280,731.664704,-0.00000911
376.191836,727.435948,-0.00000864
378.854209,723.207077,-0.00000816
381.516409,718.978098,-0.00000769
384.178447,714.749016,-0.00000722
386.840332,710.519839,-0.00000675
389.502075,706.290571,-0.00000628
392.163685,702.061220,-0.00000580
394.825172,697.831792,-0.00000533
397.486547,693.602293,-0.00000486
400.147819,689.372730,-0.00000439
402.808998,685.143108,-0.00000392
405.470095,680.913434,-0.00000344
408.131118,676.683714,-0.00000297
410.792079,672.453955,-0.00000250
413.452987,668.224162,-0.00000203
416.113852,663.994342,-0.00000156
418.774684,659.764502,-0.00000109
421.435493,655.534647,-0.00000061
424.096290,651.304784,-0.00000014
426.757083,647.074920,0.00000033
429.417883,642.845059,0.00000080
432.078700,638.615209,0.00000127
434.739544,634.385377,0.00000175
437.400425,630.155567,0.00000222
440.061353,625.925787,0.00000269
442.722338,621.696043,0.00000316
445.383389,617.466340,0.00000363
448.044518,613.236686,0.00000410
450.705733,609.007087,0.00000458
453.367045,604.777548,0.00000505
456.028463,600.548077,0.00000552
458.689998,596.318679,0.00000599
461.351660,592.089361,0.00000646
464.013458,587.860128,0.00000694
466.675403,583.630988,0.00000741
469.337505,579.401947,0.00000788
471.999773,575.173010,0.00000835
474.662217,570.944184,0.00000882
477.324848,566.715476,0.00000929
479.987676,562.486891,0.00000977
482.650709,558.258437,0.00001024
485.313959,554.030118,0.00001071
487.977436,549.801943,0.00001118
490.641148,545.573916,0.00001165
493.305107,541.346044,0.00001213
495.969322,537.118333,0.00001260
498.633803,532.890791,0.00001307
501.298560,528.663422,0.00001354
503.963604,524.436234,0.00001401
506.628943,520.209232,0.00001448
509.294588,515.982423,0.00001496
511.960549,511.755814,0.00001543
514.626836,507.529410,0.00001590
517.293459,503.303218,0.00001637
519.960427,499.077244,0.00001684
522.627751,494.851494,0.00001732
525.295441,490.625975,0.00001779
527.963507,486.400694,0.00001826
530.631958,482.175656,0.00001873
533.300804,477.950868,0.00001920
535.970056,473.726336,0.00001967
538.639723,469.502066,0.00002015
541.309815,465.278065,0.00002062
543.980343,461.054339,0.00002109
546.651315,456.830895,0.00002156
549.322743,452.607738,0.00002204
551.994636,448.384876,0.00002255
554.667004,444.162315,0.00002306
557.339859,439.940061,0.00002346
560.013208,435.718120,0.00002363
562.687055,431.496495,0.00002356
565.361398,427.275184,0.00002332
568.036233,423.054184,0.00002304
570.711553,418.833493,0.00002277
573.387355,414.613106,0.00002253
576.063631,410.393020,0.00002230
578.740377,406.173233,0.00002206
581.417589,401.953741,0.00002182
584.095260,397.734540,0.00002158
586.773387,393.515629,0.00002134
589.451963,389.297003,0.00002110
592.130984,385.078659,0.00002087
594.810445,380.860595,0.00002062
597.490341,376.642807,0.00002033
600.170665,372.425291,0.00002004
602.851412,368.208044,0.00001985
605.532578,363.991064,0.00001996
608.214166,359.774352,0.00002043
610.896185,355.557914,0.00002116
613.578651,351.341760,0.00002200
616.261580,347.125901,0.00002281
618.944990,342.910348,0.00002359
621.628896,338.695111,0.00002436
624.313315,334.480200,0.00002512
626.998264,330.265627,0.00002589
629.683758,326.051401,0.00002667
632.369813,321.837533,0.00002744
635.056446,317.624034,0.00002820
637.743673,313.410913,0.00002896
640.431510,309.198181,0.00002976
643.119973,304.985849,0.00003063
645.809082,300.773928,0.00003149
648.498852,296.562430,0.00003208
651.189296,292.351362,0.00003212
653.880413,288.140724,0.00003152
656.572191,283.930510,0.00003050
659.264611,279.720705,0.00002937
661.957649,275.511297,0.00002828
664.651282,271.302268,0.00002726
667.345488,267.093607,0.00002624
670.040247,262.885299,0.00002523
672.735535,258.677331,0.00002421
675.431333,254.469689,0.00002318
678.127618,250.262360,0.00002216
680.824369,246.055328,0.00002116
683.521565,241.848583,0.00002017
686.219184,237.642108,0.00001909
688.917204,233.435891,0.00001780
691.615598,229.229914,0.00001644
694.314339,225.024161,0.00001573
697.013417,220.818623,0.00001666
699.712851,216.613315,0.00001967
702.412705,212.408276,0.00002423
705.113071,208.203564,0.00002936
707.814053,203.999247,0.00003440
710.515756,199.795395,0.00003922
713.218284,195.592072,0.00004396
715.921734,191.389343,0.00004873
718.626209,187.187272,0.00005352
721.331806,182.985925,0.00005831
724.038628,178.785366,0.00006310
726.746775,174.585661,0.00006786
729.456345,170.386874,0.00007262
732.167439,166.189072,0.00007755
734.880161,161.992321,0.00008279
737.594619,157.796692,0.00008798
740.310917,153.602254,0.00009200
743.029136,149.409059,0.00009355
745.749304,145.217129,0.00009228
748.471398,141.026450,0.00008913
751.195356,136.836984,0.00008544
753.921103,132.648681,0.00008198
756.648567,128.461496,0.00007879
759.377679,124.275385,0.00007566
762.108374,120.090306,0.00007251
764.840584,115.906217,0.00006934
767.574245,111.723075,0.00006618
770.309289,107.540838,0.00006302
773.045650,103.359462,0.00005988
775.783262,99.178904,0.00005675
778.522059,94.999124,0.00005354
781.261973,90.820075,0.00005009
784.002933,86.641713,0.00004657
786.744868,82.463991,0.00004377
789.487722,78.286872,0.00004271
792.231475,74.110345,0.00004386
794.976150,69.934422,0.00004666
797.721800,65.759140,0.00005006
800.468495,61.584544,0.00005335
803.216301,57.410681,0.00005641
805.965284,53.237592,0.00005940
808.715505,49.065319,0.00006240
811.467028,44.893904,0.00006542
814.219913,40.723389,0.00006845
816.974226,36.553815,0.00007148
819.730027,32.385226,0.00007450
